Year,Crop,Productivity,Yield,Area
2014,Lettuces,17.178343949044585,2697.0,157.0
2015,Lettuces,14.654411764705882,1993.0,136.0
2016,Lettuces,16.86127167630058,2917.0,173.0
2017,Lettuces,15.728915662650602,2611.0,166.0
2018,Lettuces,11.516908212560386,2384.0,207.0
2019,Lettuces,19.28395061728395,3124.0,162.0
2020,Lettuces,17.475609756097562,2866.0,164.0
2021,Lettuces,20.317073170731707,3332.0,164.0
2022,Lettuces,14.407185628742514,2406.0,167.0
2023,Lettuces,19.13142857142857,3348.0,175.0
2024,Lettuces,18.00602409638554,2989.0,166.0
2025,Lettuces,14.902097902097902,2131.0,143.0
